Symbol,BasicPrice,OpenPrice,HighPrice,LowPrice,ClosePrice,AveragePrice,Volume,AdjustPrice,Ceiling,Floor,AverageAdjustPrice,TotalValue,AgreedVolume,AgreedValue,ChangePrice
SAC,11.5,11.5,11.5,11.5,11.5,11.5,0,11.5,13.2,9.8,11.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
S74,7.4,7.4,7.4,7.4,7.4,7.4,0,7.4,8.5,6.3,7.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
S72,3.5,3.5,3.5,3.5,3.5,3.5,0,3.5,4,3,3.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
S27,0.7,0.7,0.7,0.7,0.7,0.7,0,0.7,0.8,0.6,0.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
S12,2.5,2.5,2.5,2.5,2.5,2.5,0,2.5,2.8,2.2,2.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NAC,1.7,1.7,1.7,1.7,1.7,1.7,0,1.7,1.9,1.5,1.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NAS,24,24,24,24,24,24,0,24,27.6,20.4,24,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
RIC,4,3.9,4,3.9,4,4,2001,4,4.6,3.4,4,7904000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NAU,7,7,7,7,7,7,0,7,8,6,7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NAW,7.9,7.9,7.9,7.9,7.9,7.9,0,7.9,9,6.8,7.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
RCD,2.2,2.2,2.2,2.2,2.2,2.2,0,2.2,2.5,1.9,2.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NBT,14.7,15,15,14.7,14.7,14.7,300,14.7,16.9,12.5,14.7,4440000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
RCC,14.5,14.5,14.5,14.5,14.5,14.5,0,14.5,16.6,12.4,14.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NDC,162.7,162.7,162.7,162.7,162.7,162.7,0,162.7,187.1,138.3,162.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
RBC,6.5,6.5,6.5,6.5,6.5,6.5,0,6.5,7.4,5.6,6.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
RAT,15.5,15.5,15.5,15.5,15.5,15.5,0,15.5,21.7,9.3,15.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NDP,21.7,21.7,21.7,21.7,21.7,21.7,2,21.7,24.9,18.5,21.7,43400,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NDT,6.3,6.3,6.3,6.3,6.3,6.3,1400,6.3,7.2,5.4,6.3,8820000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PXA,1.2,1.2,1.2,1.2,1.2,1.2,0,1.2,1.3,1.1,1.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NDW,9.2,9.2,9.2,9.2,9.2,9.2,0,9.2,12.8,5.6,9.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NTF,39.9,39.9,39.9,39.9,39.9,39.9,0,39.9,45.8,34,39.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PWS,12,12,12,12,12,12,0,12,13.8,10.2,12,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SBD,7.1,7.1,7.1,7.1,7.1,7.1,0,7.1,8.1,6.1,7.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PBC,6.5,6.5,6.5,6.4,6.5,6.5,11804,6.5,7.4,5.6,6.5,76367700,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PBT,8.2,8.2,8.2,8.2,8.2,8.2,0,8.2,9.4,7,8.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PRO,4,4,4,4,4,4,0,4,4.6,3.4,4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PQN,4,4,4,4,4,4,0,4,5.6,2.4,4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PPI,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.6,0.4,0.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PCC,21.2,21.2,21.2,21.2,21.2,21.2,0,21.2,24.3,18.1,21.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PPH,26.4,26.7,26.9,26.3,26.4,26.4,22300,26.4,30.3,22.5,26.4,589710000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
POV,8.6,8.6,8.6,8.6,8.6,8.6,0,8.6,9.8,7.4,8.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PCN,13,13,13,13,13,13,0,13,14.9,11.1,13,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
POB,50.6,50.6,50.6,50.6,50.6,50.6,0,50.6,70.8,30.4,50.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PDV,11.7,11.7,11.7,11.6,11.7,11.7,50684,11.7,13.4,10,11.7,592925100,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PNT,7.5,7.5,7.5,7.5,7.5,7.5,0,7.5,8.6,6.4,7.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PAT,92,92.1,92.1,92,92,92,2813,92,105.8,78.2,92,258827500,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PNP,20,20,20,20,20,20,0,20,23,17,20,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PMW,32,32,32,32,32,32,0,32,36.8,27.2,32,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PMT,7.9,7.9,7.9,7.9,7.9,7.9,0,7.9,9,6.8,7.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PEC,7,7,7,7,7,7,0,7,8,6,7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PEG,6,6,6,6,6,6,0,6,6.9,5.1,6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PEQ,38,38,38,38,38,38,0,38,43.7,32.3,38,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PHH,2.4,2.4,2.4,2.4,2.4,2.4,0,2.4,2.7,2.1,2.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PMJ,17.5,17.5,17.5,17.5,17.5,17.5,0,17.5,20.1,14.9,17.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PIS,9.4,9.4,9.4,9.4,9.4,9.4,0,9.4,10.8,8,9.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PLO,2.3,2.3,2.3,2.3,2.3,2.3,0,2.3,2.6,2,2.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PLE,9.6,9.6,9.6,9.6,9.6,9.6,0,9.6,13.4,5.8,9.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PIV,1.9,2,2,1.9,1.9,1.9,44800,1.9,2.1,1.7,1.9,86160000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PLA,4.8,4.8,4.8,4.8,4.8,4.8,0,4.8,5.5,4.1,4.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PND,6.9,6.9,6.9,6.9,6.9,6.9,0,6.9,7.9,5.9,6.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PSB,5.8,5.3,5.8,5,5.8,5.8,10600,5.8,6.6,5,5.8,58460000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PAS,3.8,3.9,3.9,3.6,3.8,3.8,250408,3.8,4.3,3.3,3.8,929792300,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PSG,0.7,0.7,0.7,0.7,0.7,0.7,0,0.7,0.8,0.6,0.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVY,2.4,2.4,2.4,2.4,2.4,2.4,0,2.4,2.7,2.1,2.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVX,1.9,1.9,1.9,1.9,1.9,1.9,0,1.9,2.1,1.7,1.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVV,1.6,1.6,1.6,1.6,1.6,1.6,0,1.6,1.8,1.4,1.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVR,0.9,0.9,0.9,0.9,0.9,0.9,0,0.9,1,0.8,0.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NTT,9.1,9.1,9.1,9.1,9.1,9.1,0,9.1,10.4,7.8,9.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVM,14.9,15,15,14.7,14.9,14.9,4700,14.9,17.1,12.7,14.9,69740000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVL,3.7,3.7,3.7,3.7,3.7,3.7,0,3.7,4.2,3.2,3.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVH,0.6,0.6,0.6,0.6,0.6,0.6,0,0.6,0.7,0.5,0.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NTW,17,17,17,17,17,17,0,17,19.5,14.5,17,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVE,1.6,1.6,1.6,1.6,1.6,1.6,0,1.6,1.8,1.4,1.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PVA,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.6,0.4,0.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PTX,1.6,1.6,1.6,1.6,1.6,1.6,0,1.6,1.8,1.4,1.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NUE,9.9,9.9,9.9,9.9,9.9,9.9,2,9.9,11.3,8.5,9.9,19800,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PTT,7.9,7.9,7.9,7.9,7.9,7.9,0,7.9,9,6.8,7.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PTP,12,12,12,12,12,12,0,12,13.8,10.2,12,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NVP,7,7,7,7,7,7,0,7,9.8,4.2,7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PTO,17.5,17.5,17.5,17.5,17.5,17.5,0,17.5,24.5,10.5,17.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
NWT,5,5,5,5,5,5,0,5,5.7,4.3,5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
ODE,45.2,45,45.2,45,45.2,45.2,20300,45.2,51.9,38.5,45.2,916390000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PTH,18.5,18.5,18.5,18.5,18.5,18.5,0,18.5,21.2,15.8,18.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
OIL,9.3,9.4,9.4,9.2,9.3,9.3,434941,9.3,10.6,8,9.3,4031168300,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
ONW,3.5,3.5,3.5,3.5,3.5,3.5,0,3.5,4,3,3.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PTG,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.7,0.3,0.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PTE,2.4,2.4,2.4,2.4,2.4,2.4,0,2.4,2.7,2.1,2.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PAI,9.7,9.7,9.7,9.7,9.7,9.7,0,9.7,13.5,5.9,9.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PSL,12,12,12,12,12,12,0,12,13.8,10.2,12,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PAP,25.2,25.2,25.2,25.2,25.2,25.2,0,25.2,28.9,21.5,25.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
PX1,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
A32,38,38,38,38,38,38,0,38,43.7,32.3,38,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SSF,20.1,20.1,20.1,20.1,20.1,20.1,0,20.1,23.1,17.1,20.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SBM,31,31,31,31,31,31,0,31,35.6,26.4,31,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VDN,12.9,12.9,12.9,12.9,12.9,12.9,0,12.9,14.8,11,12.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VDT,20.6,20.6,20.6,20.6,20.6,20.6,0,20.6,23.6,17.6,20.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VE2,10,10,10,10,10,10,0,10,11.5,8.5,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VE9,1.8,2,2,1.8,1.8,1.8,2000,1.8,2,1.6,1.8,3640000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VEA,35.3,35.6,35.6,35.2,35.3,35.3,238029,35.3,40.5,30.1,35.3,8415908100,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VEC,8.2,8.1,8.2,8,8.2,8.2,3400,8.2,9.4,7,8.2,27760000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VES,2.2,2.2,2.2,2.2,2.2,2.2,0,2.2,2.5,1.9,2.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VFC,60.4,60.4,60.4,60.4,60.4,60.4,0,60.4,69.4,51.4,60.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VGL,19.8,19.8,19.8,19.8,19.8,19.8,0,19.8,22.7,16.9,19.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VHF,9.7,9.7,9.7,9.7,9.7,9.7,0,9.7,11.1,8.3,9.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VHG,2.2,2.2,2.2,2.1,2.2,2.2,408335,2.2,2.5,1.9,2.2,867206900,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VIE,5.1,5.1,5.1,5.1,5.1,5.1,0,5.1,5.8,4.4,5.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VIM,22.1,22.1,22.1,22.1,22.1,22.1,0,22.1,25.4,18.8,22.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VIN,21,21,21,21,21,21,18,21,24.1,17.9,21,374400,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VIR,4.3,4.3,4.3,4.3,4.3,4.3,0,4.3,4.9,3.7,4.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VIW,11,11,11,11,11,11,0,11,12.6,9.4,11,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VKC,1,1,1,1,1,1,0,1,1.1,0.9,1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VDB,0.9,0.9,0.9,0.9,0.9,0.9,0,0.9,1.2,0.6,0.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VKP,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.6,0.4,0.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VCT,8.5,8.5,8.5,8.5,8.5,8.5,0,8.5,9.7,7.3,8.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VCE,8,8,8,8,8,8,0,8,11.2,4.8,8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TVH,20.3,20.3,20.3,20.3,20.3,20.3,0,20.3,28.4,12.2,20.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TVM,8,8,8,8,8,8,0,8,11.2,4.8,8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
UCT,4.7,4.7,4.7,4.7,4.7,4.7,0,4.7,5.4,4,4.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
UDC,3.1,3.1,3.2,3,3.1,3.1,20700,3.1,3.5,2.7,3.1,63730000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
UDL,12.5,12.5,12.5,12.5,12.5,12.5,0,12.5,17.5,7.5,12.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
UEM,12.9,12.9,12.9,12.9,12.9,12.9,0,12.9,14.8,11,12.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
UMC,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
UPC,25,25,25,25,25,25,0,25,35,15,25,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
UPH,9.9,9.9,9.9,9.9,9.9,9.9,0,9.9,11.3,8.5,9.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
USC,10.1,10.1,10.1,10.1,10.1,10.1,0,10.1,11.6,8.6,10.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
USD,17.7,17.7,17.7,17.7,17.7,17.7,0,17.7,20.3,15.1,17.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
V11,0.4,0.4,0.4,0.4,0.4,0.4,0,0.4,0.5,0.3,0.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
V15,0.4,0.4,0.4,0.4,0.4,0.4,0,0.4,0.5,0.3,0.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VAV,41.5,41.5,41.5,41.5,41.5,41.5,0,41.5,47.7,35.3,41.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VBG,5,5,5,5,5,5,0,5,7,3,5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VBH,18.9,18.9,18.9,18.9,18.9,18.9,0,18.9,26.4,11.4,18.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VC5,1,1,1,1,1,1,0,1,1.1,0.9,1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VCP,19.9,19.9,20,19.8,19.9,19.9,6100,19.9,22.8,17,19.9,121120000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TVG,4.1,4.1,4.1,4.1,4.1,4.1,0,4.1,5.7,2.5,4.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VLC,15.7,15.8,15.8,15.5,15.7,15.7,28310,15.7,18,13.4,15.7,441665500,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VLP,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTS,19.2,19.2,19.2,19.2,19.2,19.2,0,19.2,26.8,11.6,19.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTX,8,8,8,8,8,8,0,8,9.2,6.8,8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VVN,2.3,2.3,2.3,2.3,2.3,2.3,0,2.3,2.6,2,2.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VVS,20.2,20.2,20.2,20.2,20.2,20.2,0,20.2,23.2,17.2,20.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VW3,12.4,12.4,12.4,12.4,12.4,12.4,0,12.4,14.2,10.6,12.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VWS,19.5,19.5,19.5,19.5,19.5,19.5,0,19.5,27.3,11.7,19.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VXB,22.4,22.4,22.4,22.4,22.4,22.4,0,22.4,25.7,19.1,22.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VXP,30.6,30.6,30.6,30.6,30.6,30.6,0,30.6,42.8,18.4,30.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VXT,20.8,20.8,20.8,20.8,20.8,20.8,0,20.8,23.9,17.7,20.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
WTC,12.8,12.8,12.8,12.8,12.8,12.8,0,12.8,14.7,10.9,12.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
X26,21.5,21.5,21.5,21.5,21.5,21.5,0,21.5,30.1,12.9,21.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
X77,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.4,0.2,0.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
XDH,18.9,18.9,18.9,18.9,18.9,18.9,0,18.9,21.7,16.1,18.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
XLV,10,10,10,10,10,10,0,10,11.5,8.5,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
XMC,7.1,7.1,7.1,7.1,7.1,7.1,3200,7.1,8.1,6.1,7.1,22720000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
XMD,8.5,8.5,8.5,8.5,8.5,8.5,0,8.5,9.7,7.3,8.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
XMP,19.4,19.4,19.4,19.4,19.4,19.4,0,19.4,22.3,16.5,19.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTQ,38.3,38.3,38.3,38.3,38.3,38.3,0,38.3,53.6,23,38.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VLF,1.2,1.2,1.2,1.2,1.2,1.2,0,1.2,1.3,1.1,1.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTM,21.8,21.8,21.8,21.8,21.8,21.8,0,21.8,30.5,13.1,21.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTG,8.6,8.6,8.6,8.6,8.6,8.6,0,8.6,9.8,7.4,8.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VLW,20.4,20.4,20.4,20.4,20.4,20.4,0,20.4,23.4,17.4,20.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VMA,4.6,4.6,4.6,4.6,4.6,4.6,0,4.6,6.4,2.8,4.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VMK,16.5,16.5,16.5,16.5,16.5,16.5,0,16.5,18.9,14.1,16.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VMT,21.2,21.2,21.2,21.2,21.2,21.2,0,21.2,24.3,18.1,21.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VNB,10.1,10.3,10.3,10,10.1,10.1,67300,10.1,11.6,8.6,10.1,681730000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VNH,1.7,1.7,1.7,1.7,1.7,1.7,0,1.7,1.9,1.5,1.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VNP,12.7,12.7,12.7,12.7,12.7,12.7,500,12.7,14.6,10.8,12.7,6350000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VNX,27,27,27,27,27,27,0,27,37.8,16.2,27,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VNY,5.9,5.9,5.9,5.9,5.9,5.9,0,5.9,6.7,5.1,5.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VPA,3.9,3.9,3.9,3.9,3.9,3.9,0,3.9,4.4,3.4,3.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VPC,2.3,2.3,2.3,2.3,2.3,2.3,0,2.3,2.6,2,2.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VPW,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VQC,14.3,14.3,14.3,14.3,14.3,14.3,0,14.3,16.4,12.2,14.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VSG,1.7,1.7,1.7,1.7,1.7,1.7,0,1.7,1.9,1.5,1.7,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VSN,20.2,20.2,20.2,20.2,20.2,20.2,0,20.2,23.2,17.2,20.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VST,2.8,2.8,2.8,2.8,2.8,2.8,0,2.8,3.2,2.4,2.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTD,8,8.1,8.3,7.8,8,8,42150,8,9.2,6.8,8,331275000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
VTI,4,4,4,4,4,4,0,4,4.6,3.4,4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SBL,7,7,7,7,7,7,200,7,8,6,7,1400000,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TVA,11.2,11.2,11.2,11.2,11.2,11.2,0,11.2,12.8,9.6,11.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TTS,9.2,9.2,9.2,9.2,9.2,9.2,0,9.2,10.5,7.9,9.2,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SNC,20,20,20,20,20,20,0,20,23,17,20,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SP2,16.5,16.5,16.5,16.5,16.5,16.5,0,16.5,18.9,14.1,16.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SPB,23,23,23,23,23,23,0,23,26.4,19.6,23,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SPD,8,8,8,8,8,8,0,8,9.2,6.8,8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SPH,10,10,10,10,10,10,0,10,14,6,10,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SQC,7.4,7.4,7.4,7.4,7.4,7.4,0,7.4,8.5,6.3,7.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SSN,1.3,1.3,1.3,1.3,1.3,1.3,0,1.3,1.4,1.2,1.3,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
STS,37,37,37,37,37,37,0,37,51.8,22.2,37,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
STT,1.8,1.8,1.8,1.8,1.8,1.8,0,1.8,2,1.6,1.8,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
STW,26.5,26.5,26.5,26.5,26.5,26.5,0,26.5,37.1,15.9,26.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SVG,4.9,4.9,4.9,4.9,4.9,4.9,0,4.9,5.6,4.2,4.9,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SVH,6,6,6,6,6,6,0,6,8.4,3.6,6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
SZG,32.6,32.6,32.6,32.6,32.6,32.6,0,32.6,37.4,27.8,32.6,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TA3,5.4,5.4,5.4,5.4,5.4,5.4,0,5.4,7.5,3.3,5.4,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
TA6,6.5,6.5,6.5,6.5,6.5,6.5,0,6.5,7.4,5.6,6.5,0,0,0,0.00 (0.00 %)
,,,,,,,,,,,,,,,
